Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Learning Asana (2017),"Asana is a lightweight project management and team productivity tool used by top organizations including GE, Airbnb, and NASA. In this short course, David Rivers shows how to use Asana to manage projects more efficiently and collaborate with your team. David begins with a tour of the Asana interface, highlighting the program's most helpful features. Next, he shows how to set up teams and create projects. Finally, he shows how to add individual tasks and track ongoing projects.",Course,2018-08-18 17:37 UTC,N/A,false,N/A,
Node.js Essential Training (2019),"Node.js is a powerful tool for controlling servers, building web applications, and creating event-driven programs. And it takes JavaScript—a language familiar to all web developers—out of the browser. With Node.js, you can build applications that run on your laptop or even the cloud. In this course, learn the essentials of Node.js and start creating your own JavaScript applications. Instructor Alex Banks acquaints you with all of the basics, showing how to install Node.js and work with the Node.js core, which includes standard input, standard output, the module system, the file system, and how to write and run JavaScript on the server. Upon wrapping up this course, you’ll be equipped with fundamental Node.js concepts and techniques that you can put to use in your next project.",Course,2020-05-04 19:34 UTC,N/A,false,N/A,
Managing for Results (2014),"To be a high-performing manager, you need an advanced understanding of the principles of great leadership. In this course, author and business coach Dr. Todd Dewett shares the secrets businesses large and small use to manage teams, achieve precise results, and intelligently execute business strategies. He focuses on three key areas: motivation, positive change, and decision making. Discover how to shift your mindset, create a culture of motivation and accountability, make decisions that matter, and maintain excellence over time.",Course,2018-09-13 15:55 UTC,N/A,false,N/A,
No-Code Web Design,"You—a person with little or no training in web design—have found yourself in charge of a website. Maybe even two. While your task might initially seem daunting, designing and running a great site is completely within your powers. In this series, Jen Kramer shows you how, providing quick, actionable tips designed to help accidental web designers like yourself create and manage high-quality sites. Learn new techniques in the areas of content, marketing, and technology, from how to define your website’s voice to how to effectively focus your social media messaging.",Course,2020-06-04 01:11 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:622057,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:622057,Course,2018-08-18 17:23 UTC,N/A,false,N/A,
Team Collaboration in Office 365,"Office 365 is a collection of online services and popular desktop applications, connected by powerful collaboration features. In this course, discover how to leverage these collaboration tools to maximize team productivity in Office 365 Business or Enterprise. Nick Brazzi kicks off the course by helping you understand Office 365 Groups and SharePoint. Next, he discusses several applications included in Office 365 that facilitate group communication. Nick covers co-authoring documents in Word, Excel, and PowerPoint, working with shared calendars in Outlook, holding online meetings with Skype for Business, sharing files via OneDrive and SharePoint, collaborating with colleagues in Teams, and more.",Course,2018-10-22 21:33 UTC,N/A,false,N/A,
Finance for Non-Financial Managers (2015),"If you're looking to grow your career and take on greater responsibility within your organization, you'll need to demonstrate a basic understanding of financial management—even if you're not in a financial role. You don't have to be a numbers person! You just have to appreciate their role in business. In this course, accounting professor Jim Stice helps you develop the financial acumen necessary to interpret financial reports and make decisions based on available data, manage inventory and receivables, create an accurate budget, and cost a product or service. Plus, learn how to analyze your customers, understand your income taxes, and communicate your contribution to the bottom line.",Course,2021-01-03 20:17 UTC,N/A,false,N/A,
Microsoft Teams Essential Training (2019),"Discover the core features of Microsoft Teams and see how you can bring together colleagues, create conversations and content, and collaborate more effectively. Author Nick Brazzi walks you through the essentials of using Teams, starting with basic setup, creating new teams, and joining existing teams. Nick covers organizing teams and members and shows how to conduct conversations. He explains how to create scheduled meetings or initiate impromptu meetings inside Teams, and demonstrates file sharing. Finally, Nick walks you through customizing user settings, and explains how to use Teams on mobile devices.",Course,2020-03-19 17:26 UTC,N/A,false,N/A,
Migrating from Skype for Business to Teams,"If you're transitioning from Skype for Business to Microsoft Teams, this brief course can help you get up to speed fast. Staff instructor Nick Brazzi begins with a quick primer on Teams—the new go-to collaboration and communication hub in Office 365—including how to access the tool on your desktop and mobile device. Nick shows how familiar features like messaging and file sharing work in Teams compared to Skype for Business. Next, Nick steps through audio calls, video calls, and group meetings in Teams, showing how to schedule and join meetings, share screens during a presentation, and record your meetings. Nick also introduces how to post group messages to teammates, which is a core communication feature in Teams that is not available in Skype for Business.",Course,2020-04-15 17:37 UTC,N/A,false,N/A,
SmartSound Sonicfire Pro 5 Essential Training,"SmartSound Sonicfire Pro 5 is not just soundtrack scoring software, but also a collection of royalty-free music clips that are fully customizable, with features like Mood Mapping and Timing Control. In this workshop, filmmaker Jeff Foster explores the process of selecting and editing the various customizable music libraries using both the web-based Quicktracks and the professional Sonicfire Pro 5 software. Learn how to pull out select instruments and write a complete score of any length you wish. He also introduces a round-trip workflow with a few nonlinear editors and offers tips and tricks for further customizing your soundtracks.",Course,2019-06-06 04:08 UTC,N/A,false,N/A,
Learning Microsoft Dynamics 365: The Basics (2019),"Get started with Dynamics 365, the cloud-based customer relationship management (CRM) tool from Microsoft. In this course, instructor Gini von Courter takes you through the basics, providing the essential information you need to start leveraging this popular cloud service to power your business. After acquainting you with its user interface, record types, and business processes, Gini explains how to create records, track activities, and work with leads and opportunities in Dynamics 365. Plus, she shares insights on how to make use of dashboards, reports, and charts.",Course,2020-08-03 21:32 UTC,N/A,false,N/A,
Measure What Matters (Blinkist Summary),"What do Google and Bono have in common? They've both used objectives and key results (OKRs), a goal setting system that involves defining specific objectives and establishing how you'll measure your progress. In his 2018 book, <i>Measure What Matters</i>, John Doerr—an early investor in Google—details how OKRs have helped some of the most innovative people and companies focus, scale, and thrive. This audiobook summary distills some of the book's most significant points into concise, easily digestible clips. Learn more about what OKRs entail, how to track them, how to challenge yourself by implementing stretch goals, and more.</br></br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAGBOK0mBeX1rQquTpjenFxrvCQ.jpg"" height=""50%"" width=""50%""></br></br>

Note: This audiobook summary was produced by <a href=""https://www.blinkist.com/?utm_source=linkedinlearning&utm_medium=partner&utm_campaign=Measure-What-Matters-Blinkist""target=""_blank"">Blinkist</a>. We are pleased to host this content in our library.",Course,2019-05-08 18:54 UTC,N/A,false,N/A,
Entrepreneurship Foundations,"<p>Join Kim Kaupe as she shares the steps to becoming a successful entrepreneur. Kim begins by providing a set of tools to assess a potential business opportunity, outlines some of the challenges you might face, and offers a formula for starting small and creating your new company. She covers how to raise funds and the importance of having the right tools available. She also identifies the important people in the process of entrepreneurship and how each plays a powerful role in your success. Finally, Kim shares how to find a tribe of supporters and how to scale your new business. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/entrepreneurship-learning-pathway"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2020-01-03 22:35 UTC,N/A,false,N/A,
How to Present and Stay on Point,"Join master presenter Todd Dewett as he outlines the basic elements of delivering a great presentation and staying on message. Todd discusses the ""pre-work"" involved in a great presentation so that you feel—and <i>are</i>—well prepared. He also delivers tips on creating handouts and slides that contain just the right amount of information, responding to your audience, and recovering from the occasional mistake.",Course,2021-02-02 19:15 UTC,2021-02-02 17:44 UTC,false,N/A,
Google Ads (AdWords) Essential Training (2019),"Learn the foundations of pay-per-click (PPC) advertising with Google Ads (formerly known as AdWords) the industry-leading PPC platform. First, explore how Google Ads works and how it fits with what your business—and your customers—need. Then learn how to set up a new Google Ads account and start researching your keywords: the foundation of all great advertisements. After he demonstrates how to set up a new campaign and write your first ad, instructor Brad Batesole shows how to use Google Ads reporting and Google Analytics to monitor your campaign's performance. Brad also shows how to optimize ads to get more clicks, conversions, and ultimately more return on your investment (ROI). Finally, go beyond the basics with ad extensions—a feature which can increase your click-through rate by several percentage points.",Course,2020-06-04 01:09 UTC,N/A,false,N/A,
Marketing Tools: Automation (2020),"Automation is a must-have for organizations looking to get the most out of their marketing budget. This course provides guidance on how to pick the right marketing automation tool for your company, and use it effectively to automate time-consuming marketing tasks. Along the way, get an overview of what each top marketing automation solution has to offer. Instructor Brad Batesole walks you through some of the most popular uses of automation, showcased in tools like HubSpot, ActiveCampaign, and Mailchimp. Plus, Brad shares how to leverage tools that help you measure the success of your marketing automation initiative using key metrics.",Course,2020-10-20 16:17 UTC,N/A,false,N/A,
Adobe Connect Essential Training,"Get started with Adobe Connect, the popular web conferencing software from Adobe. Join instructor Garrick Chow as he demonstrates how to use Adobe Connect to bridge real-world gaps and help anyone with an internet connection link up online. Garrick begins by showing how to set up meetings, establish audio connections, and create users and groups. Next, he covers managing attendees, including how to manage passwords and assign user roles. Garrick also explores all the features of running a presentation, from using the Share pod to providing downloadable content and managing participant questions.",Course,2020-04-15 17:32 UTC,N/A,false,N/A,
Learning HubSpot CRM,"Your success in sales depends on your ability to manage multiple customers, conversations, and activities. HubSpot is a powerful CRM that is designed to work seamlessly with the HubSpot sales, customer service, and marketing tools. It can help you sell better, market better, and gain more powerful insights from customer interactions. This course dives into the basics of using HubSpot CRM, and examines how to streamline the sales process with the management and automation tools. Learn how to connect HubSpot CRM to your email, create new contacts and deals, and use the full-featured dashboards and reports to understand the performance of your pipeline. Plus, discover how to use the meetings and document management tools to collaborate with customers and create more valuable, long-lasting engagements.",Course,2020-10-20 16:10 UTC,N/A,false,N/A,
WordPress: Plugin Development,"Is your WordPress website missing something special? Almost any feature you can imagine can be built with WordPress plugins. Learn how to build, extend, and distribute your own plugins with these development techniques, featuring the WordPress API and PHP. Learn how to create menus and a settings page, add custom functionality with JavaScript, and style your plugin with CSS. Discover how to customize the WordPress loop, add custom fields and metaboxes, and work with transients, HTTP, WP Cron, AJAX, the REST API, and Gutenberg. Plus, learn how to adjust roles and permissions to keep your plugins secure.",Course,2018-06-19 02:46 UTC,N/A,true,N/A,
First Look: Rust,"Get your first look at Rust, an open-source systems programming language that focuses on speed, memory safety, and parallelism. Developers use Rust to create a wide range of new software applications, such as game engines, operating systems, file systems, browser components and simulation engines for virtual reality. In this course, learn how to install Rust and then familiarize yourself with basic concepts like variables, data types, method syntax, enums, and more. Discover how the unique ownership principles of Rust impact the language. Data handling, pattern patching, and error handling are also covered. The course wraps up with a sample Rust project that shows you how it all comes together.",Course,2020-05-09 04:01 UTC,N/A,false,N/A,
WordPress 4 Essential Training,"WordPress powers millions of blogs and websites. Learn how to create your own with this powerful publishing platform. Staff author Morten Rand-Hendriksen will help you get the most out of the self-hosted version of WordPress and create feature-rich blogs and websites. Morten explains how to create and publish posts and pages; customize your site with themes, widgets, and custom menus; and extend WordPress even further with plugins. Plus, learn how to get more readers with social media sharing and comments, and how to adjust the settings that keep your site safe and secure.<br><br>Note: This course covers an older version of WordPress, which features the Classic Editor. Watch this course only if you are using the Classic Editor plugin or using WordPress 4.9 or earlier. Otherwise, watch <i>WordPress 5 Essential Training</i>, which covers the new Block Editor experience.",Course,2018-07-18 15:48 UTC,N/A,false,N/A,
Microsoft Teams Essential Training (2018),"Get up to speed with Microsoft Teams, the communication and teamwork hub of Office 365. Teams brings together colleagues, conversations, and content, allowing enterprise users to collaborate more seamlessly. In this course, instructor Nick Brazzi walks through everything you need to know about using Teams, starting with how to set up teams and join existing teams. Nick then covers how to organize teams and engage in conversations. He shows how to share files with colleagues and initiate video and audio meetings on Teams—both scheduled and impromptu. Plus, Nick explains how to add extra functionality using apps, bots, and connectors; customize user and administrator settings; and work with the Microsoft Teams mobile app.<br><br>",Course,2018-08-22 10:24 UTC,N/A,false,N/A,
Nonprofit Management Foundations,"Thinking about leading a nonprofit organization? Internationally renowned author Leslie Crutchfield provides a primer on nonprofit management and leadership. She explains how nonprofits are different than for-profits and the challenges and opportunities that come with leading them. In addition, she provides a comprehensive overview of how fundraising, talent recruiting and retention, governance, finance, and accounting work at a nonprofit level. She also shares her insights on how to scale both your organization and the impact your organization has on the world.",Course,2018-10-23 12:37 UTC,N/A,false,N/A,
Python Parallel Programming Solutions,"Learn parallel programming techniques using Python and explore the many ways you can write code that allows more than one task to occur at a time. First, discover how to develop and implement efficient software architecture that is set up to take advantage of thread-based and process-based parallelism. Next, find out how to use Python modules for asynchronous programming. Then, explore GPU programming using PyCUDA, NumbaPro, and PyOpenCL. This course provides extensive coverage of synchronizing processes, streamlining communication, reducing operations, and optimizing code so you can select and implement the right parallel processing solutions for your applications.<br><br>Note: This course was created by Packt Publishing. We are pleased to host this training in our library.",Course,2020-03-20 21:39 UTC,N/A,false,N/A,
Audio Mixing Master Class,"Get a master class in audio mixing from one of the music industry's most admired teachers, Bobby Owsinski. Built around hands-on mixing exercises designed to show you how to listen and work like a music pro, this series reveals the tips, tricks, and secrets to all the different facets of mixing, including instrument and vocal balance, panning, compression, EQ, reverb, delay, and making your mix as interesting as possible.<br><br> 

See how the pros handle the critical balance between the bass and drums. Learn where, when, why, and how EQ should be used on virtually any instrument. Become proficient in tailoring just the right effect for each particular mixing situation. And master the key to fat and punchy sounding mixes: compression.",Course,2019-06-02 18:54 UTC,N/A,false,N/A,
Audio Mixing Bootcamp,"In this course, author Bobby Owsinski reveals industry tips, tricks, and techniques for producing professionally mixed audio on any digital audio workstation. He offers recommendations for setting up an optimal listening environment, highlights the most efficient ways to set up and balance a mix, and shows how to build a powerful sound with compression. The course also explains how to master the intricacies of EQ; incorporate reverb, delay, and modulation effects; and generate the final mix.",Course,2019-06-05 12:51 UTC,N/A,false,N/A,
"Business Etiquette: Phone, Email, and Text (2015)","Phone, email, or text? Learn what communication method to use when. Suzanna Kaye starts with email, explaining everything from setting up signatures to striking the right tone. She also explains how to best use autoresponders, acknowledge receipt of an email, and follow up on unanswered email. The lessons help viewers evaluate their own email communications, ensuring that the recipients won't misinterpret them in any way.<br><br>

Next up is text etiquette, including what and what not to say in a text message. Suzanna then looks at common business communications like letters, requests for payment, and thank-yous, and how to make action items communicate the right level of urgency.<br><br>

Finally, the course covers phone etiquette, including proper greetings, voicemails, out-of-office messages, and essential phone behavior.",Course,2018-06-14 21:05 UTC,2018-06-14 20:59 UTC,true,N/A,
Microsoft Teams Tips and Tricks (2018),"Discover how to work more efficiently with Microsoft Teams, the popular collaboration app in Office 365. In this concise, targeted course, Nick Brazzi shares tips that can help power users get even more use out of Teams. He goes over useful commands and keyboard shortcuts that can help you streamline your workflow, and explains how to use Teams as a hub to access information from different Office 365 apps. Plus, he demonstrates how to leverage different communication options; explores some particularly useful apps in Teams; and shares how to work with bots and messaging apps. <br><br>Note: This course was featured in <i>Market Watch</i>, <i>Inc.</i>, <i>Fortune</i>, <i>Forbes</i>, and <i>Entrepreneur</i>.",Course,2020-04-15 17:44 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:589d1821498ed6219e3e6c47,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaLearningPath:589d1821498ed6219e3e6c47,Learning Path,2021-02-02 19:17 UTC,N/A,false,N/A,
